"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGDTCCBPWgAwIBAgISBOkUzJ3YsH6w0ee5Rdgh/5aVMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDAxMDUwOTIxMDJaFw0yNDA0MDQwOTIxMDFaMCsxKTAnBgNVBAMTIHdlYi1hcHAuZGlhZ29yaWVudGUuYmV0YS5nb3V2LmZyMIICIjANBgkqhkiG9w0BAQEFAAOCAg8AMIICCgKCAgEAynSbDUngRD3eRq+kFwUQfBvpLszHXBwqw8uYFYjwchvWFpsZnW3JaTtz7A+pAM3zbF9mQ+/Q4skVYPRshAFCgCjYLSTnUVwehT4IifY2RnL9jaQbm5aZMM7e2+a8SqNs4ZTcg/WN/vN7HOU8JZdftVirOodwUeY5mxwirxQqtPsmK1gAEEjxmiYHsTkzPtQMvFCgVIzmrMv3xGEu37naFxxcuspeEhr0/t6XHCwRN6YdBd8w86YqfN3GgJgQADbXikaXqMulOMQgqyK3uXdh9CPTXQHNsunaoIXQQtbmGyGTFwhhBhBsIrqWJ6SudmUWn8QxGfsOioLn9BSW+FOJFSBL04VdxnzB+GloasBxR6gbQ/e/vpoxtq4aYvcZ4XHaVp90eBV8ei28sSI3/odwF/6nt+ahCgs2rGrG+/IV7pNb4G2EGZKeCnpZF+V4H+75/LtvQv3Asn7a3K/aul+4V5xNP2LMohk2W+uFqxcuARXicG6hil/Z6ZKKyvQIvc0smvQBZgrlif++fgsIOu//9tJsrpP6PvTuOKFKWeN8XaiU8Kp35zKo6aoFAaq985rpbIKUYTu7TcJ1ZWVtEYCbHjDQ8Gn+JlksGydOx8hoCuYV7vgKw3fWNPuC2Sj9FCXhFDzF2FCKRdPovEt0Gm2OZYKRxu8xBQUAsHHE3o+ZfoUCAwEAAaOCAiIwggIeMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUMLBvE1O4i6tKaf+hsdg7GFi6lekwHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wKwYDVR0RBCQwIoIgd2ViLWFwcC5kaWFnb3JpZW50ZS5iZXRhLmdvdXYuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwggEEBgorBgEEAdZ5AgQCBIH1BIHyAPAAdgBIsONr2qZHNA/lagL6nTDrHFIBy1bdLIHZu7+rOdiEcwAAAYzZI/lGAAAEAwBHMEUCIDrUvNOE9nJRF95h5xKf6gDZbY7hMQCKUbWEjvcyt2fvAiEAxUwEuqYRZNF6jvRfgQEX/vz4Y+rtNpoheY6RzD8tgQgAdgA7U3d1Pi25gE6LMFsG/kA7Z9hPw/THvQANLXJv4frUFwAAAYzZI/lNAAAEAwBHMEUCIC7BK3Nbso6Y86hpGs+3q942rcEs2rVB3nPcu5OSi9w5AiEA/vVpijx734qfej7S1ZgDmaTQkDsnoeexUoSp7jDOojYwDQYJKoZIhvcNAQELBQADggEBAKzBEE9lft9QkIlQWUosePm8Ay1pBQNrPsnFBvh9/bG0nt2K+jyEa2dlZQfsdXP6eh+fcmXZIVkgsynhTD4eSNpTkbiGNNvqm4KU1c2ClBSV/7K2hQhJ5JKp/wPEUvFXLWgMnTJyxceVdjc+NthEJ4kKwsmUFLSQfo2Aoowv2YsOfKsRK5gbHKEm5Lcc9kejWyeIeMOQujZVM5H7UAfTZAwKqdbS954bOq2xI8D28VNJ8rdsmddh7ExHZN1ABMHpJkryeidSAtEv7DyV6MA5yfaUgt2erMyY7w4Cpa1xwdjugiHTPhRbb9d76dTBrzTurdLVo8t/M9VZIdyGuhgzJaI=\n-----END CERTIFICATE-----","",""
"cert_commonName","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","OK","web-app.diagoriente.beta.gouv.fr","",""
"cert_commonName_wo_SNI","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","TRAEFIK DEFAULT CERT","",""
"cert_subjectAltName","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","web-app.diagoriente.beta.gouv.fr","",""
"cert_trust","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","OK","passed.","",""
"cert_certificatePolicies_EV","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","no","",""
"cert_expirationStatus","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","OK","60 >= 30 days","",""
"cert_notBefore","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","2024-01-05 09:21","",""
"cert_notAfter","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","OK","2024-04-04 09:21","",""
"cert_extlifeSpan","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","not present","",""
"cert_crlDistributionPoints","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","--","",""
"cert_ocspURL","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","LOW","not offered","",""
"cert_mustStapleExtension","web-app.diagoriente.beta.gouv.fr/135.125.83.158","443","INFO","--","",""
