"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert_chain <#1>","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","R3 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","1711242952","",""
"HSTS_time","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","730 days (=63072000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","includes subdomains","",""
"HSTS_preload","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","domain IS marked for preloading","",""
"HPKP","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","nginx","",""
"banner_application","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","No application banner found","",""
"cookie_count","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","0 at '/'","",""
"X-Frame-Options","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","DENY","",""
"X-Content-Type-Options","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","nosniff","",""
"X-XSS-Protection","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","1; mode=block","",""
"Cache-Control","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","no-cache","",""
"banner_reverseproxy","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","--","","CWE-200"
"heartbleed","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","supported","","CWE-310"
"secure_client_renego","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=BE372F4C3494DBE3EACEAB22383901F2B0DAF77F07D46B5F5770C6877F86E8C0","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","plateforme.diagoriente.beta.gouv.fr/162.19.23.159","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
